action,id,handle,detail_before,detail_after,status
swap,9365036367977,base-parasol-demi-lune-motif-floral-bronze,pos1=img35906549547113(9pu61b197cec5bd5e.jpg),"pos1<-img35906549809257(pos14, qUV4ea19494546e15_0bc0d553-5be4-4aac-b827-ebfb4361aa20.jpg)",APPLIED_VERIFIED
swap,9371100905577,rideaux-lateraux-gazebo-10x12,pos1=img35836579053673(MEZ62519ed600c7a8.jpg),"pos1<-img35836579283049(pos14, KYU57e19d454ac91b.jpg)",APPLIED_VERIFIED
untag,7751785775209,voiture-electrique-police-12v-pour-2-enfants-avec-telecommande,"12V battery, Aosom, auto électrique, back-in-stock, deux places, electric car, jouet extérieur, jouet police, kids toys, lifestyle-verified, outdoor toys, police car, remote control, ride-on car, two seater, télécommande, voiture électrique","12V battery, Aosom, auto électrique, back-in-stock, deux places, electric car, jouet extérieur, jouet police, kids toys, outdoor toys, police car, remote control, ride-on car, two seater, télécommande, voiture électrique",APPLIED_VERIFIED
untag,7796432633961,climatiseur-portable-10-000-btu-4-en-1-avec-minuterie-24h,"10000 BTU, air conditioner, Aosom, back-in-stock, bedroom, bureau, chambre, climatiseur, cooling, dehumidifier, déshumidificateur, fan, lifestyle-verified, minuterie, office, portable, refroidissement, timer, ventilateur","10000 BTU, air conditioner, Aosom, back-in-stock, bedroom, bureau, chambre, climatiseur, cooling, dehumidifier, déshumidificateur, fan, minuterie, office, portable, refroidissement, timer, ventilateur",APPLIED_VERIFIED
untag,7798393176169,climatiseur-portable-10000-btu-avec-ventilateur-et-deshumidificateur,"air conditioner, Aosom, back-in-stock, climatiseur, cooling, dehumidifier, energy efficient, lifestyle-verified, portable, quiet, remote control, summer cooling","air conditioner, Aosom, back-in-stock, climatiseur, cooling, dehumidifier, energy efficient, portable, quiet, remote control, summer cooling",APPLIED_VERIFIED
untag,9367414210665,vtt-electrique-enfant-6v-musique-phares,"3-6 ans, 6V, back-in-stock, birthday gift, cadeau enfant, cadeau Noël, DEL headlights, electric ATV, jouet enfant, jouet extérieur, jouet électrique, kids ride-on, kids toy, lifestyle-verified, musique intégrée, outdoor toy, quad électrique, ride-on car, toddler toy, VTT électrique","3-6 ans, 6V, back-in-stock, birthday gift, cadeau enfant, cadeau Noël, DEL headlights, electric ATV, jouet enfant, jouet extérieur, jouet électrique, kids ride-on, kids toy, musique intégrée, outdoor toy, quad électrique, ride-on car, toddler toy, VTT électrique",APPLIED_VERIFIED
untag,9371101167721,climatiseur-portatif-8000-btu-deshumidificateur-telecommande,"24-hour timer, 8000 BTU, Canada, climatisation été, climatiseur portatif, dehumidifier, déshumidificateur, lifestyle-verified, minuterie 24h, mode sommeil, petit espace, portable air conditioner, Québec, refroidisseur de pièce, remote control, room air conditioner, silencieux, sleep mode, small room, summer cooling, télécommande","24-hour timer, 8000 BTU, Canada, climatisation été, climatiseur portatif, dehumidifier, déshumidificateur, minuterie 24h, mode sommeil, petit espace, portable air conditioner, Québec, refroidisseur de pièce, remote control, room air conditioner, silencieux, sleep mode, small room, summer cooling, télécommande",APPLIED_VERIFIED
untag,9371101266025,climatiseur-portatif-8000-btu-4-fonctions-minuterie,"8000 BTU, air conditioning, bedroom, Canada, chambre à coucher, climatisation, climatiseur portatif, cooling, dehumidifier, déshumidificateur, lifestyle-verified, minuterie, mode nuit, portable air conditioner, refroidissement, remote control, sleep mode, summer, timer, télécommande, été","8000 BTU, air conditioning, bedroom, Canada, chambre à coucher, climatisation, climatiseur portatif, cooling, dehumidifier, déshumidificateur, minuterie, mode nuit, portable air conditioner, refroidissement, remote control, sleep mode, summer, timer, télécommande, été",APPLIED_VERIFIED
