product_id,marque_detectee,ancien_titre,titre_nettoye_propose,vendor_actuel,vendor_propose
7736547475561,Outsunny,Parasol Rétractable Double 600cm Outsunny - Brise-Vue Patio Noir,Parasol Rétractable Double 600cm - Brise-Vue Patio Noir,Aosom,Outsunny
7736568971369,Outsunny,Gazebo Outsunny 10×13 pi avec Murs Moustiquaire - Tente de Jardin,Gazebo 10×13 pi avec Murs Moustiquaire - Tente de Jardin,Aosom,Outsunny
7736571494505,Outsunny,Gazébo Outsunny 3x3m Toit Dur Acier Galvanisé Cadre Aluminium Gris Foncé,Gazébo 3x3m Toit Dur Acier Galvanisé Cadre Aluminium Gris Foncé,Aosom,Outsunny
7736571592809,Outsunny,Gazebo Hardtop Outsunny 10' x 12' Toit Acier Galvanisé Cadre Aluminium,Gazebo Hardtop 10' x 12' Toit Acier Galvanisé Cadre Aluminium,Aosom,Outsunny
7736576901225,Outsunny,"Ensemble de Patio en Rotin 4 Pcs Outsunny - Coussins Épais, Gris Mixte","Ensemble de Patio en Rotin 4 Pcs - Coussins Épais, Gris Mixte",Aosom,Outsunny
7736577228905,Outsunny,Lampadaire Solaire Outsunny 196cm Détecteur Mouvement Extérieur Noir,Lampadaire Solaire 196cm Détecteur Mouvement Extérieur Noir,Aosom,Outsunny
7752208449641,Aosom,Kart à Pédales Aosom pour Enfants - Cadre Acier avec Freins,Kart à Pédales pour Enfants - Cadre Acier avec Freins,Aosom,Aosom
